inj	out_1kev_400	out_2kev_400	out_3kev_400	out_1kev_50	out_2kev_50	out_3kev_50
0.512	0.39168	0.31303	0.27813	0.22211	0.18897	0.17253
0.514	0.39017	0.31406	0.27764	0.22205	0.19093	0.1723
0.516	0.39098	0.31201	0.28001	0.22066	0.1915	0.1713
0.518	0.39312	0.31159	0.27737	0.22269	0.19023	0.17424
0.52	0.39215	0.31203	0.28071	0.22186	0.18963	0.17218
0.522	0.39474	0.31395	0.28163	0.22284	0.1912	0.17236
0.524	0.39471	0.31322	0.28428	0.22113	0.19093	0.17587
0.526	0.3967	0.3163	0.28159	0.22386	0.19165	0.17537
0.528	0.39529	0.31727	0.28233	0.22456	0.19167	0.17182
0.53	0.39414	0.31438	0.28422	0.22657	0.19087	0.17568
0.532	0.39765	0.31489	0.28314	0.22424	0.19451	0.17429
0.534	0.39802	0.31553	0.28198	0.22438	0.19453	0.17319
0.536	0.39864	0.3155	0.28461	0.22404	0.19141	0.17424
0.538	0.39817	0.31713	0.28039	0.2245	0.19325	0.17422
0.54	0.40038	0.31917	0.28341	0.22519	0.1939	0.17386
0.542	0.40099	0.31813	0.28382	0.2268	0.19346	0.17422
0.544	0.40237	0.31981	0.2826	0.22608	0.19199	0.17543
0.546	0.40028	0.31614	0.28357	0.22836	0.19348	0.17348
0.548	0.40407	0.31973	0.28535	0.22423	0.1923	0.17621
0.55	0.40422	0.31929	0.28281	0.22658	0.19287	0.17538
0.552	0.40336	0.31915	0.28479	0.22482	0.19252	0.1785
0.554	0.40352	0.32209	0.2853	0.22736	0.1959	0.17643
0.556	0.4045	0.32046	0.28525	0.22737	0.19595	0.17559
0.558	0.40711	0.3211	0.28587	0.22963	0.19471	0.17583
0.56	0.40414	0.32128	0.28716	0.2277	0.19373	0.17559
0.562	0.40866	0.32375	0.28633	0.22822	0.19675	0.17945
0.564	0.40535	0.32348	0.28635	0.22605	0.19331	0.17787
0.566	0.407	0.32421	0.28608	0.22851	0.19502	0.17777
0.568	0.40822	0.32128	0.28581	0.22698	0.19567	0.17743
0.57	0.40764	0.32127	0.28637	0.22875	0.19731	0.17608
0.572	0.40673	0.32381	0.28558	0.22635	0.19519	0.17678
0.574	0.4115	0.32498	0.28614	0.22519	0.19769	0.17766
0.576	0.40631	0.32385	0.29002	0.22698	0.19506	0.17761
0.578	0.41072	0.32442	0.28897	0.22771	0.19746	0.17792
0.58	0.41018	0.32348	0.28728	0.22723	0.19567	0.17811
0.582	0.41342	0.32571	0.28838	0.22879	0.19814	0.1782
0.584	0.41338	0.32383	0.28856	0.228	0.19662	0.17599
0.586	0.41397	0.32618	0.28854	0.23097	0.19731	0.17869
0.588	0.41422	0.32485	0.29069	0.22946	0.196	0.18046
0.59	0.41321	0.32704	0.29143	0.23014	0.19596	0.1787
0.592	0.41603	0.32576	0.28957	0.22865	0.19781	0.17694
0.594	0.41542	0.3281	0.29128	0.22756	0.1964	0.18018
0.596	0.41616	0.32735	0.28906	0.23043	0.19688	0.17833
0.598	0.41608	0.32658	0.29006	0.23124	0.19813	0.17792
0.6	0.41718	0.32744	0.29141	0.23174	0.19621	0.17953
0.602	0.41931	0.32794	0.29224	0.23135	0.19879	0.18123
0.604	0.41763	0.32704	0.29398	0.23274	0.19817	0.17932
0.606	0.4189	0.32674	0.28946	0.23087	0.19775	0.1814
0.608	0.41807	0.33296	0.29385	0.23223	0.19876	0.18181
0.61	0.41876	0.33188	0.29243	0.23268	0.20022	0.18198
0.612	0.42238	0.32902	0.29342	0.2328	0.19787	0.18051
0.614	0.41976	0.32834	0.29295	0.23244	0.20063	0.18007
0.616	0.42139	0.33075	0.29279	0.23098	0.19826	0.18201
0.618	0.42319	0.3336	0.29087	0.23351	0.20001	0.18171
0.62	0.42388	0.32967	0.29262	0.23294	0.20088	0.18274
0.622	0.4234	0.33181	0.29217	0.233	0.19997	0.18147
0.624	0.42303	0.33275	0.29451	0.23177	0.19956	0.18181
0.626	0.42382	0.33422	0.29249	0.23212	0.20055	0.18117
0.628	0.42729	0.33347	0.29407	0.23072	0.19917	0.18201
0.63	0.4271	0.33383	0.29514	0.23096	0.19904	0.18248
0.632	0.42846	0.33513	0.29624	0.2323	0.19883	0.18282
0.634	0.4257	0.33491	0.29547	0.23484	0.20194	0.18315
0.636	0.42799	0.33576	0.2978	0.23334	0.20072	0.18319
0.638	0.43021	0.33437	0.29776	0.23439	0.20298	0.18347
0.64	0.42982	0.33513	0.29693	0.23448	0.20139	0.18384
0.642	0.42822	0.33464	0.29759	0.23338	0.20098	0.18378
0.644	0.42887	0.3367	0.29557	0.23376	0.20146	0.1841
0.646	0.43073	0.33534	0.29872	0.23531	0.2021	0.18413
0.648	0.43142	0.33767	0.29873	0.23467	0.20269	0.1835
0.65	0.43169	0.33595	0.29613	0.23592	0.20094	0.18281
0.652	0.43268	0.33699	0.29899	0.23389	0.20151	0.18526
0.654	0.43265	0.33683	0.29713	0.23519	0.20077	0.18327
0.656	0.43644	0.33811	0.29586	0.23461	0.20459	0.18309
0.658	0.43309	0.33838	0.3007	0.23461	0.20342	0.18202
0.66	0.43661	0.33968	0.29825	0.23426	0.20307	0.18603
0.662	0.43409	0.33834	0.30092	0.23591	0.20312	0.18498
0.664	0.43661	0.33991	0.29941	0.23507	0.20295	0.18537
0.666	0.43661	0.33689	0.29809	0.23486	0.20308	0.18446
0.668	0.43778	0.33892	0.29975	0.24052	0.20344	0.18361
0.67	0.4367	0.33748	0.30133	0.23867	0.2056	0.18536
0.672	0.43951	0.33998	0.29984	0.23696	0.20429	0.18442
0.674	0.43829	0.33981	0.30149	0.23746	0.20199	0.18475
0.676	0.43988	0.34128	0.30053	0.23654	0.2028	0.18496
0.678	0.43894	0.33997	0.30023	0.23543	0.20278	0.18542
0.68	0.4421	0.34051	0.30231	0.23623	0.20427	0.18706
0.682	0.44393	0.34326	0.30243	0.23631	0.20451	0.18577
0.684	0.44309	0.3432	0.30322	0.24016	0.20248	0.18594
0.686	0.4445	0.34328	0.30285	0.23783	0.20562	0.18723
0.688	0.43907	0.34308	0.30416	0.23776	0.20234	0.186
0.69	0.44337	0.34502	0.30544	0.23705	0.20505	0.18897
0.692	0.44146	0.3461	0.30424	0.23828	0.20597	0.18724
0.694	0.44358	0.34299	0.30159	0.23797	0.20504	0.18859
0.696	0.44235	0.34436	0.30403	0.23763	0.20611	0.18604
0.698	0.44207	0.34507	0.3039	0.23828	0.20382	0.18819
0.7	0.44605	0.34314	0.30435	0.23854	0.20396	0.18837
0.702	0.44779	0.34581	0.30615	0.23965	0.20717	0.18639
0.704	0.44933	0.34472	0.30706	0.2396	0.20532	0.18621
0.706	0.4452	0.34729	0.30382	0.23872	0.20549	0.18752
0.708	0.44875	0.34699	0.30515	0.23995	0.20786	0.18717
0.71	0.44685	0.34563	0.30395	0.23793	0.20319	0.18802
0.712	0.4491	0.34719	0.30785	0.23953	0.20743	0.18871
0.714	0.45012	0.34765	0.30351	0.23955	0.20942	0.18902
0.716	0.44827	0.34635	0.30736	0.23954	0.20633	0.1881
0.718	0.45157	0.34756	0.30694	0.23869	0.20779	0.1884
0.72	0.45312	0.34811	0.30687	0.24215	0.20878	0.18936
0.722	0.45276	0.34806	0.3078	0.24202	0.20715	0.1866
0.724	0.45555	0.35009	0.30958	0.23881	0.20617	0.18767
0.726	0.4546	0.3482	0.30931	0.24336	0.20673	0.18883
0.728	0.45417	0.34753	0.30774	0.23858	0.20833	0.18665
0.73	0.45311	0.35153	0.30889	0.24192	0.21071	0.18901
0.732	0.45536	0.35095	0.30969	0.24253	0.20703	0.18804
0.734	0.45631	0.35065	0.30937	0.24168	0.2075	0.18909
0.736	0.45604	0.35179	0.30919	0.24358	0.20813	0.1883
0.738	0.45199	0.35115	0.31199	0.2412	0.20786	0.19043
0.74	0.45806	0.35283	0.31145	0.23978	0.20876	0.19016
0.742	0.45538	0.35129	0.30982	0.24341	0.20919	0.18989
0.744	0.4592	0.35013	0.30839	0.24185	0.20924	0.18938
0.746	0.45652	0.35339	0.31004	0.24212	0.2086	0.19083
0.748	0.45835	0.35584	0.3103	0.24389	0.2094	0.1903
0.75	0.46255	0.35229	0.30885	0.24128	0.21193	0.18905
0.752	0.45998	0.35419	0.31083	0.24229	0.21149	0.19152
0.754	0.46221	0.35238	0.31261	0.24133	0.20791	0.19052
0.756	0.461	0.35176	0.31134	0.24345	0.20812	0.18951
0.758	0.46021	0.35554	0.31342	0.24256	0.20921	0.19081
0.76	0.46318	0.35288	0.31222	0.24328	0.21021	0.18976
0.762	0.46262	0.35502	0.31315	0.24357	0.21026	0.19235
0.764	0.46417	0.3554	0.31337	0.24462	0.21008	0.18983
0.766	0.46449	0.35447	0.31381	0.24369	0.21015	0.19021
0.768	0.46279	0.35527	0.31506	0.24456	0.21177	0.18951
0.77	0.46522	0.35451	0.31359	0.24195	0.21194	0.19124
0.772	0.4678	0.35698	0.31288	0.24361	0.2118	0.19149
