Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.001484896	0.00875	0.01229	0.01237	0.00829	0.00231	-0.01738	-0.01702	-0.01686	-0.02347	0.000800000000000002	0.000720000000000002	0.000309999999999998
0.001511821	0.00891	0.01588	0.01073	0.00943	0.00204	-0.01647	-0.01628	-0.01835	-0.02481	-2.99999999999988e-05	-0.000380000000000002	0.0006
0.001539235	0.01021	0.01342	0.01279	0.00642	0.00198	-0.01774	-0.01776	-0.01604	-0.02449	-0.000490000000000001	-0.00162	-0.000839999999999997
0.001567145	0.00835	0.01407	0.0109	0.00748	0.00256	-0.01606	-0.01687	-0.01651	-0.02481	0.00233	-0.00069	-0.00289
0.001595562	0.00905	0.01086	0.01122	0.0097	0.00506	-0.01303	-0.01656	-0.01635	-0.02542	0.00043	0.00133	-0.00109
0.001624493	0.00716	0.01327	0.01481	0.00744	0.00398	-0.01392	-0.01782	-0.01673	-0.02573	0.000150000000000001	-0.000789999999999999	-0.00109
0.00165395	0.00863	0.01246	0.01198	0.01191	0.00223	-0.01467	-0.01711	-0.01757	-0.02446	0.000430000000000003	-0.00016	-0.00181
0.00168394	0.00734	0.01352	0.0115	0.00953	0.00238	-0.01312	-0.01754	-0.01775	-0.0262	4.9999999999998e-05	0.00207	-0.000529999999999999
0.001714475	0.00986	0.01325	0.01093	0.00736	0.00244	-0.01249	-0.01619	-0.01808	-0.02515	0.000240000000000001	0.001	-0.00238
0.001745563	0.00894	0.01254	0.0117	0.00764	0.00363	-0.01316	-0.0158	-0.01714	-0.02452	6.0000000000001e-05	0.000580000000000001	-0.000650000000000001
0.001777214	0.0113	0.01296	0.00959	0.00515	0.00343	-0.01412	-0.01687	-0.0174	-0.02603	-0.00125	0.000320000000000001	-0.00104
0.00180944	0.01101	0.01521	0.01066	0.01283	0.00241	-0.01292	-0.01641	-0.01891	-0.02517	-0.000109999999999999	0.000400000000000001	-0.000369999999999999
0.00184225	0.01141	0.01406	0.01257	0.00906	0.00312	-0.01351	-0.01596	-0.01755	-0.02506	0.00043	0.000949999999999999	-0.00129
0.001875655	0.01139	0.0103	0.01032	0.00742	0.00282	-0.01373	-0.01693	-0.01706	-0.02531	-0.00025	-0.00018	-0.00198
0.001909665	0.00854	0.01453	0.01159	0.00791	0.00168	-0.01383	-0.01628	-0.01581	-0.02579	-0.00107	0.00149	-0.00052
