Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.00709049	0.09267	0.08799	0.08874	0.09147	0.09258	0.10005	0.10057	0.09888	0.10182	0.07503	0.08313	0.07024
0.00721906	0.09351	0.08867	0.08898	0.092	0.09356	0.09962	0.10294	0.10064	0.10044	0.07609	0.08149	0.07062
0.00734996	0.09572	0.08925	0.09413	0.09453	0.09388	0.10209	0.1031	0.10186	0.10228	0.07901	0.0826	0.07235
0.007483235	0.09798	0.09472	0.09419	0.09492	0.09653	0.10456	0.10389	0.102	0.10482	0.07939	0.08431	0.07245
0.007618926	0.09957	0.09704	0.09496	0.09526	0.09636	0.10571	0.10442	0.10163	0.10278	0.07931	0.08708	0.07389
0.007757077	0.10213	0.095	0.08365	0.0983	0.09873	0.10608	0.10691	0.10531	0.10314	0.08218	0.08726	0.07552
0.007897733	0.10456	0.09829	0.09888	0.09984	0.10017	0.10844	0.10817	0.10488	0.10608	0.08272	0.08755	0.07537
0.00804094	0.10414	0.10152	0.10038	0.12554	0.10277	0.10818	0.10963	0.10775	0.1055	0.08212	0.08908	0.07598
0.008186744	0.10783	0.10283	0.10292	0.10277	0.07361	0.11042	0.11111	0.10832	0.10693	0.08514	0.09327	0.07886
0.008335191	0.10966	0.10392	0.10583	0.10376	0.10569	0.11244	0.11253	0.10919	0.10808	0.08463	0.09488	0.07809
0.008486331	0.11266	0.1073	0.10734	0.10689	0.10765	0.11325	0.1147	0.10912	0.10971	0.08768	0.09679	0.08134
0.00864021	0.112	0.10719	0.10853	0.10784	0.10844	0.11532	0.11296	0.11005	0.11033	0.08919	0.09619	0.08032
0.00879688	0.1178	0.11127	0.11122	0.11192	0.10934	0.11636	0.11523	0.1121	0.1096	0.08917	0.09604	0.08221
0.008956391	0.12126	0.11469	0.11419	0.11283	0.11301	0.11786	0.11709	0.11252	0.11258	0.09178	0.09722	0.0821
0.009118794	0.11863	0.11688	0.11444	0.114	0.11209	0.11938	0.11878	0.11515	0.11326	0.09275	0.09931	0.08429
0.009284142	0.12184	0.11654	0.11698	0.11562	0.11455	0.11975	0.11881	0.11695	0.11394	0.09239	0.10068	0.08601
0.009452489	0.12646	0.12049	0.11667	0.12045	0.11736	0.12195	0.12132	0.11778	0.11685	0.09647	0.10191	0.08731
0.009623887	0.13069	0.12271	0.12204	0.11979	0.12059	0.12123	0.12228	0.11774	0.11654	0.09804	0.1023	0.08863
0.009798394	0.13172	0.12347	0.12204	0.12181	0.12036	0.12386	0.12237	0.11966	0.11732	0.0981	0.10291	0.08954
0.009976065	0.13331	0.12573	0.12559	0.12432	0.12218	0.12463	0.12528	0.1201	0.11958	0.10098	0.10358	0.09038
0.01015696	0.13634	0.12866	0.12842	0.1251	0.12497	0.12855	0.12735	0.12291	0.12182	0.09922	0.10487	0.0899
0.01034113	0.13845	0.13012	0.12896	0.12668	0.12623	0.12884	0.12785	0.12133	0.11993	0.09902	0.10533	0.09189
0.01052864	0.14063	0.13236	0.12979	0.1292	0.12713	0.12995	0.12823	0.12544	0.12166	0.10348	0.10599	0.09441
0.01071955	0.14254	0.13598	0.13336	0.13059	0.12963	0.13213	0.1301	0.12497	0.122	0.10201	0.10564	0.09341
0.01091393	0.14542	0.13739	0.13411	0.13207	0.1293	0.13439	0.13142	0.12639	0.12482	0.10468	0.10372	0.09474
0.01111183	0.14783	0.1378	0.12651	0.13282	0.13102	0.13373	0.13313	0.12818	0.12526	0.10466	0.10597	0.09538
0.01131331	0.1502	0.14145	0.13893	0.14038	0.13403	0.13577	0.13341	0.13023	0.12531	0.10818	0.10573	0.09714
0.01151845	0.15336	0.14284	0.14087	0.13871	0.13599	0.13634	0.13393	0.1306	0.12776	0.1078	0.10738	0.09749
0.01172732	0.15504	0.14613	0.14382	0.14086	0.13732	0.13862	0.13479	0.13169	0.12728	0.10912	0.1083	0.09969
0.01193996	0.15566	0.14491	0.12148	0.14224	0.14012	0.13866	0.13519	0.1332	0.12733	0.11038	0.10975	0.10146
0.01215647	0.15806	0.15111	0.14759	0.14199	0.14111	0.14207	0.13723	0.13394	0.12913	0.1143	0.11303	0.10251
0.01237689	0.15965	0.15239	0.14795	0.14474	0.14275	0.1432	0.13882	0.13686	0.13187	0.11453	0.11406	0.1025
0.01260132	0.16174	0.15391	0.15009	0.14717	0.14287	0.14558	0.14041	0.13554	0.1325	0.11444	0.11467	0.10438
0.01282982	0.16461	0.15669	0.15207	0.15095	0.14397	0.14557	0.14153	0.13828	0.13501	0.11746	0.11747	0.10429
0.01306246	0.1647	0.15949	0.15494	0.15236	0.15342	0.14696	0.14424	0.13848	0.13538	0.11727	0.11823	0.10656
0.01329931	0.16717	0.16188	0.15705	0.15258	0.14809	0.14749	0.14364	0.13989	0.1349	0.12017	0.1192	0.10836
0.01354046	0.16886	0.16297	0.15815	0.15339	0.14975	0.14698	0.14515	0.14363	0.13641	0.11913	0.1207	0.1076
0.01378599	0.17031	0.16484	0.16018	0.15683	0.15276	0.15036	0.14657	0.14154	0.13746	0.12044	0.11993	0.10845
0.01403597	0.17161	0.16466	0.16234	0.15678	0.15157	0.15053	0.14563	0.14362	0.13971	0.12241	0.12176	0.11081
0.01429047	0.17456	0.16622	0.16541	0.15899	0.15481	0.15272	0.14828	0.14382	0.13895	0.12349	0.12433	0.11184
0.0145496	0.17517	0.16973	0.16507	0.16027	0.15623	0.15329	0.15158	0.14629	0.14054	0.12372	0.12407	0.11235
0.01481342	0.17713	0.17146	0.16701	0.16204	0.15707	0.15376	0.14987	0.14596	0.14191	0.12484	0.12589	0.11345
0.01508203	0.17961	0.17173	0.16466	0.16363	0.15821	0.15562	0.15246	0.14619	0.14296	0.12701	0.12486	0.11633
0.01535551	0.18043	0.17418	0.16914	0.16452	0.16054	0.15713	0.15347	0.14916	0.14329	0.12641	0.12852	0.11506
0.01563394	0.18117	0.17582	0.17137	0.16657	0.16262	0.15674	0.1541	0.14936	0.14423	0.12961	0.12776	0.11545
0.01591743	0.18373	0.17617	0.1724	0.16895	0.16123	0.15825	0.15553	0.15113	0.14713	0.13019	0.12912	0.11764
0.01620605	0.18559	0.17893	0.17384	0.16833	0.16295	0.1595	0.15624	0.15054	0.14605	0.13055	0.12701	0.11873
0.01649991	0.18595	0.17964	0.17561	0.17103	0.16495	0.16019	0.15715	0.15326	0.14788	0.13342	0.13046	0.12026
0.0167991	0.18533	0.18265	0.17688	0.17236	0.16757	0.16089	0.15832	0.15283	0.14892	0.13435	0.13298	0.11974
0.01710371	0.19115	0.18316	0.17855	0.17138	0.16735	0.16145	0.1587	0.15436	0.14837	0.13661	0.13431	0.12265
0.01741385	0.18806	0.18428	0.17911	0.17275	0.16723	0.16401	0.16118	0.15436	0.14958	0.13712	0.13402	0.12431
0.01772961	0.19183	0.18526	0.1812	0.17479	0.1701	0.16538	0.16255	0.15391	0.15124	0.13791	0.13114	0.12358
0.01805109	0.19171	0.18599	0.18326	0.17543	0.17116	0.16553	0.16118	0.15678	0.15238	0.14013	0.13475	0.12523
0.01837841	0.19304	0.18597	0.18351	0.17753	0.17316	0.16614	0.16478	0.15743	0.15214	0.13994	0.13446	0.1259
0.01871165	0.1971	0.18783	0.1851	0.17667	0.17415	0.16705	0.16448	0.15784	0.15301	0.14039	0.13611	0.12742
0.01905095	0.19734	0.19007	0.18689	0.1796	0.17467	0.1681	0.166	0.15916	0.15377	0.141	0.13681	0.12908
0.01939639	0.19747	0.19262	0.18687	0.18208	0.17403	0.1704	0.16774	0.16059	0.15546	0.14226	0.13787	0.13009
0.0197481	0.19732	0.19368	0.18838	0.18196	0.17653	0.1714	0.16732	0.16024	0.15547	0.14446	0.14012	0.12984
0.02010618	0.20028	0.19357	0.18877	0.18227	0.17761	0.17252	0.16858	0.16257	0.15718	0.14576	0.14023	0.13084
0.02047076	0.20029	0.19487	0.18859	0.18439	0.17734	0.17157	0.16934	0.16322	0.15846	0.14504	0.14121	0.13454
0.02084195	0.20192	0.1961	0.19113	0.18447	0.17877	0.16805	0.16817	0.16475	0.15723	0.14761	0.14296	0.13322
0.02121987	0.20333	0.1977	0.19219	0.18615	0.18061	0.17636	0.17022	0.16516	0.15821	0.14745	0.14399	0.13536
0.02160465	0.20513	0.19955	0.19352	0.18706	0.18023	0.17626	0.17315	0.16564	0.1586	0.14942	0.14289	0.13649
0.0219964	0.20618	0.20039	0.1937	0.18751	0.18279	0.17833	0.17186	0.16721	0.16022	0.14925	0.14577	0.13633
0.02239525	0.2058	0.20089	0.18973	0.18904	0.1833	0.17727	0.17396	0.1676	0.16188	0.14959	0.14703	0.13846
0.02280133	0.20555	0.20203	0.19788	0.19074	0.18389	0.17663	0.17566	0.16798	0.16189	0.15113	0.14722	0.13904
0.02321478	0.20812	0.20223	0.19704	0.19161	0.18504	0.18021	0.17542	0.16899	0.16396	0.15266	0.14768	0.13979
